Velocidade Inicial	Angulo (alpha)	Distancia Horizontal	Velociade Final	Valor de g
7300	0	2504.0829042586074	16.96508321620958	13.230162456269863
7310	0	2510.379125746056	16.965241715805167	13.23100448058608
7320	0	2516.6839359846786	16.965398594226595	13.233381322060406
7330	0	2522.997324106619	16.96555263219121	13.235753402237671
7340	0	2529.31926487045	16.965703476719884	13.23658305187067
7350	0	2535.649767671634	16.96585245918778	13.238945753012956
7360	0	2541.9888432114813	16.965999084097156	13.239767704301077
7370	0	2548.336585867737	16.96457863830819	13.241740056742453
7380	0	2554.692968088125	16.964719154304774	13.244088761508767
7390	0	2561.0579091550653	16.964857654913086	13.244898920542155
7400	0	2567.4315360775468	16.9649937757402	13.247238375200524
7410	0	2573.8137558157773	16.96512685774238	13.248041004701662
7420	0	2580.204604716238	16.965257722315396	13.250371281099742
7430	0	2586.604045976889	16.965386938961466	13.252696897995587
7440	0	2593.0120971274305	16.965513198844047	13.253487563778739
7450	0	2599.42883973174	16.965636800425436	13.25580409614157
7460	1	2505.7816666548624	16.964943589169238	13.462086382910204
7460	0	2605.854212587779	16.965758886890523	13.258116022108084
7470	0	2612.288195880931	16.965878537896636	13.258894893408216
7470	1	2511.9473438614427	16.96519464598449	13.463238380858868
7480	1	2518.1213693926366	16.96544356842534	13.466029371094205
7480	0	2618.730922589612	16.965995788631357	13.261197846966052
7490	1	2524.303668205848	16.9656894011565	13.46717285025952
7490	0	2625.182273309521	16.964546534781665	13.261590661981634
7500	0	2631.6422905826344	16.964659987564705	13.263884763371703
7500	1	2530.494281461365	16.965934064455986	13.469954173967196
7510	1	2536.6931609384014	16.964612614496925	13.47068179364054
7510	0	2638.110946693526	16.964771342426815	13.266174354484198
7520	0	2644.5882606586247	16.964880239456516	13.266934832903067
7520	1	2542.900368399814	16.964852618563075	13.47181365920036
7530	0	2651.0742828383013	16.96498784389703	13.269215633572145
7530	1	2549.115931580449	16.965090536592513	13.474580548433119
7540	0	2657.568929402291	16.965093752897282	13.269969075027864
7540	1	2555.3397222258845	16.965327453389712	13.475704099403469
7550	1	2561.5718720939735	16.96556239143202	13.4784615215524
7550	0	2664.0723228097677	16.965197401324033	13.272241190015597
7560	1	2567.8123332788864	16.96579502264136	13.479576857704481
7560	0	2670.584407961889	16.965299254856696	13.274508893405557
7570	0	2677.105115014523	16.965400166665358	13.275251149162406
7570	1	2574.061163205952	16.96602621500033	13.482324927803855
7580	0	2683.6345683025806	16.96549964574265	13.277510296607465
7580	1	2580.318275194242	16.964692080140125	13.483026013946652
7590	1	2586.5837282848966	16.964920359962676	13.484130196217055
7590	0	2690.172715799795	16.965597311036312	13.279765115563132
7600	0	2696.719494673976	16.96569332358355	13.280496408695829
7600	1	2592.857571399234	16.96514662654259	13.486864274863654
7610	1	2599.1396767634337	16.965372080452763	13.487960466730613
7610	0	2703.275008294204	16.965789142189426	13.282742814601425
7620	1	2605.430150547498	16.965596639098894	13.490685421393305
7620	0	2709.839212124403	16.965883220790786	13.283467434209934
7620	2	2502.9105133915446	16.9652141111111	13.70040171130957
7630	0	2716.4121917874722	16.96597597664238	13.2857055210582
7630	2	2508.9403146754985	16.96559414738125	13.701909099464391
7630	1	2611.728936660161	16.96581955882182	13.491773713304312
7640	0	2722.9938675996723	16.96450386164319	13.287562981218965
7640	2	2514.9780855449994	16.965973179934856	13.703412514170116
7640	1	2618.036127012366	16.96447723683184	13.494084456806794
7650	0	2729.5842128446893	16.96459527491124	13.288277409337542
7650	1	2624.351611060278	16.964698595745944	13.495165313828604
7650	2	2521.023910329732	16.964786319337925	13.706227283104194
7660	0	2736.183323279403	16.964685689825767	13.290503173892978
7660	1	2630.675469013727	16.964918678463818	13.496242986916187
7660	2	2527.077709160345	16.965161892802858	13.707722053370649
7670	1	2637.007741901454	16.965137736485733	13.498945462003055
7670	0	2742.791110402542	16.96477486296968	13.291211149488694
7670	2	2533.139487999718	16.96553674090536	13.70921295650337
7680	0	2749.407619152991	16.96486454262212	13.293428833296911
7680	1	2643.348336730196	16.965355694478962	13.500015531733187
7680	2	2539.209273032988	16.96591037659932	13.710700013578123
7690	0	2756.03282706999	16.96495343148912	13.29564243277172
7690	2	2545.287136804291	16.964718681345683	13.71349609648019
7690	1	2649.6973097052687	16.965573824515094	13.502709239741213
7700	0	2762.6667548296573	16.965041814204014	13.296340228253817
7700	1	2656.0546130437288	16.965791492979516	13.50377179783403
7700	2	2551.3729406140833	16.96509035774794	13.714974701730984
7710	0	2769.3094802869264	16.965129268340686	13.298545943184948
7710	1	2662.420327764823	16.966007955816924	13.50645680872781
7710	2	2557.466746022004	16.96546156414753	13.716449526559813
7720	0	2775.960880135479	16.965217573609085	13.299237608235453
7720	1	2668.7943245149136	16.964660885561177	13.507108402784127
7720	2	2563.5685577593886	16.96583168435073	13.717920594870714
7730	0	2782.621053951433	16.965305488635636	13.301435560898724
7730	2	2569.6784263011496	16.964636872467	13.720698353782277
7730	1	2675.176686628568	16.964877789391714	13.508160858797263
7740	0	2789.289979047952	16.96539305130781	13.303629569467248
7740	2	2575.7962184174003	16.96500616697689	13.722161162049892
7740	1	2681.5674785004685	16.965094091576113	13.510832992255398
7750	0	2795.967607991037	16.96548074946593	13.304311474553923
7750	1	2687.966642382576	16.965310013134925	13.51187822737277
7750	2	2581.9220129373584	16.96537534258229	13.723620305856056
7760	0	2802.65398157375	16.965569317572587	13.30649786781817
7760	1	2694.374202548149	16.965526662878325	13.514541995172328
7760	2	2588.055866403473	16.965743546491204	13.72507581038091
7770	0	2809.349065361548	16.965658152520362	13.308680381281855
7770	1	2700.790099784618	16.96574359077991	13.515580143453295
7770	2	2594.1978027140967	16.964547203586942	13.727835727748754
7780	2	2600.3477071744446	16.96491536815714	13.729283226466643
7780	1	2707.2144368105182	16.96596051961893	13.518235640720286
7780	0	2816.0528432522924	16.965747114250583	13.309352732629993
7790	3	2501.4179632919245	16.965678077570544	13.947019172342717
7790	2	2606.505635605805	16.965283449347204	13.730727177888417
7790	1	2713.6471304986967	16.964613356922907	13.51886458495287
7790	0	2822.7653992908186	16.965836720777748	13.311527785834645
7800	2	2612.671609010334	16.965651302674743	13.732167597712593
7800	0	2829.4866777061275	16.965927734614446	13.312194462966369
7800	1	2720.0881695659905	16.964831724699504	13.51989325580097
7800	3	2507.3141469906545	16.964656746577276	13.948463199360011
7810	0	2836.216752139328	16.966018966239428	13.3143622087687
7810	1	2726.5375913095327	16.965050569604042	13.522536455825161
7810	3	2513.2179647405023	16.965199481469494	13.950366296088015
7810	2	2618.845643970261	16.966019287193635	13.735341908666285
7820	0	2842.9555877183107	16.96454680666115	13.316153002758753
7820	2	2625.027612136321	16.964823977314232	13.736342734153974
7820	1	2732.995371293862	16.965270021930323	13.523558285131571
7820	3	2519.129461590308	16.96574176605148	13.952265219956706
7830	2	2631.217626165805	16.96519296105359	13.737771913213757
7830	1	2739.461581182008	16.96548989354834	13.52619349033244
7830	3	2525.04868156371	16.96471934855924	13.953697633826403
7830	0	2849.703107285662	16.96463989937245	13.316811013027968
7840	2	2637.415696976598	16.965562024391165	13.739197679620617
7840	1	2745.9361244096876	16.965711472064037	13.527208626000345
7840	3	2530.975577087579	16.965260518944742	13.955588484855866
7840	0	2856.4594115003265	16.964734428003908	13.318967952729404
7850	1	2752.4191116316592	16.965934289256904	13.529835985382125
7850	3	2536.9101128029533	16.965802059138284	13.957475260370625
7850	2	2643.621849169516	16.965932055765578	13.742354226861426
7850	0	2863.22441945087	16.96483033885472	13.319620553272074
7860	0	2869.998208156884	16.964926624582848	13.321770438168627
7860	1	2758.9104683830456	16.964593513682704	13.530443664439881
7860	3	2542.8523583521373	16.96477957346805	13.958896315100631
7860	2	2649.835959718696	16.964739067593104	13.7433414462858
7870	1	2765.410214218588	16.96481840945689	13.531449965616016
7870	0	2876.780708183837	16.965025472989186	13.323916746152761
7870	2	2656.05809814503	16.96511064744935	13.744756342425006
7870	3	2548.802288919956	16.965320650423514	13.96077515846917
7880	3	2554.75992247785	16.96586218747902	13.964506414087566
7880	1	2771.9183698598126	16.96504495965809	13.534065693869417
7880	2	2662.288315099119	16.965482735810404	13.746167945357211
7880	0	2883.571929896693	16.96512570947701	13.32456069170485
7890	0	2890.3719418787236	16.965227887578248	13.32670013115632
7890	1	2778.434866693094	16.96527289961432	13.535065596247867
7890	3	2560.7251688721913	16.964840186687827	13.965915108899338
7890	2	2668.526591444604	16.965856411077866	13.749307224537741
7900	0	2897.1806777014494	16.96533121389565	13.327338954017353
7900	3	2566.6981294179736	16.965382500056805	13.967781358425933
7900	2	2674.7728527077084	16.964667301955878	13.75028131345393
7900	1	2784.959780443044	16.965502472585385	13.537673731103718
7910	0	2903.9981758888925	16.96543701492161	13.329471668008793
7910	1	2791.4930419667558	16.965733475577135	13.538667326202267
7910	2	2681.027146317656	16.965043201544095	13.751682387309225
7910	3	2572.6787837177194	16.965924784115426	13.969643686025085
7920	1	2798.0347224100256	16.96596733882534	13.541268015447637
7920	0	2910.824408392736	16.96554504175514	13.331600968391779
7920	3	2578.6671181108713	16.964904056786708	13.971041503425479
7920	2	2687.289482112283	16.96542027872312	13.753080274121924
7930	0	2917.6593651506146	16.965654779664767	13.33223163259073
7930	1	2804.584761193949	16.964638685069062	13.541855892369645
7930	3	2584.6631278397185	16.965448127046994	13.97289629333969
7930	2	2693.5598767762385	16.965799388663317	13.756202742869638
7940	2	2699.838271406422	16.964615936364215	13.757164172059394
7940	3	2590.666859616397	16.96599272045388	13.974747244999108
7940	0	2924.503133342286	16.96576657568357	13.334354355936222
7940	1	2811.143198925297	16.964875847572856	13.542841263928077
7950	0	2931.3556046796643	16.965881468547543	13.336473726736823
7950	1	2817.710056059467	16.96511521216904	13.545430931381924
7950	3	2596.678325543702	16.96497378443583	13.97613446929881
7950	2	2706.124733231135	16.964997907656713	13.758551917321531
7960	0	2938.2167532014314	16.965998704751268	13.33709643137269
