Velocidade Inicial	Angulo (alpha)	Distancia Horizontal	Velociade Final	Valor de g
7300	0	2504.0829042586074	16.96508321620958	13.230162456269863
7400	0	2567.4315360775468	16.9649937757402	13.247238375200524
7500	1	2530.494281461365	16.965934064455986	13.469954173967196
7500	0	2631.6422905826344	16.964659987564705	13.263884763371703
7600	1	2592.857571399234	16.96514662654259	13.486864274863654
7600	0	2696.719494673976	16.96569332358355	13.280496408695829
7700	0	2762.6667548296573	16.965041814204014	13.296340228253817
7700	1	2656.0546130437288	16.965791492979516	13.50377179783403
7700	2	2551.3729406140833	16.96509035774794	13.714974701730984
7800	3	2507.3141469906545	16.964656746577276	13.948463199360011
7800	1	2720.0881695659905	16.964831724699504	13.51989325580097
7800	2	2612.671609010334	16.965651302674743	13.732167597712593
7800	0	2829.4866777061275	16.965927734614446	13.312194462966369
7900	3	2566.6981294179736	16.965382500056805	13.967781358425933
7900	2	2674.7728527077084	16.964667301955878	13.75028131345393
7900	0	2897.1806777014494	16.96533121389565	13.327338954017353
7900	1	2784.959780443044	16.965502472585385	13.537673731103718
8000	2	2737.677591796013	16.965373351623203	13.766738822829415
8000	4	2518.2700253439393	16.965148675102064	14.207253180187005
8000	3	2626.8508459264845	16.96459046338555	13.984397540872333
8000	1	2850.6699065951893	16.9647869641693	13.55311133643579
8000	0	2965.7489780788205	16.964930437993356	13.343667619324108
8100	2	2801.3857564753425	16.964751730730985	13.784163765101422
8100	1	2917.2178530916663	16.965921857612713	13.56865223672941
8100	0	3035.190667994519	16.964831419215585	13.358222032415657
8100	4	2576.461145070683	16.96474324894752	14.226053443616399
8100	3	2687.773037219803	16.965512943112813	14.002960856109741
8200	1	2984.601996151817	16.96587678389611	13.585117044669076
8200	0	3105.5038754471666	16.965131942536164	13.372525648587438
8200	5	2523.7142895580305	16.96486694845043	14.473785678624589
8200	3	2749.464393890414	16.965126165746202	14.020730349191833
8200	2	2865.8961114094377	16.966030027319157	13.80000238211781
8200	4	2635.38828114696	16.96447792046565	14.24448137852757
8300	0	3176.6859252883037	16.965907601594036	13.386601635411798
8300	1	3052.819669688606	16.96473168470196	13.599351809261389
8300	3	2811.9237393641324	16.965089076126073	14.038192211517492
8300	2	2931.2065997005666	16.964606192465556	13.816428589707305
8300	5	2580.633723132285	16.96512081492655	14.492516254114872
8300	4	2695.0514307462768	16.966014134599742	14.263049371106797
8400	0	3248.7336142021463	16.96564801545129	13.401567420732988
8400	3	2875.148997365257	16.96548451993935	14.05537153095283
8400	2	2997.3145352959086	16.965239066587568	13.83302280300821
8400	1	3121.8677962444413	16.96567200135337	13.615332437449107
8400	4	2755.449769963153	16.96475247381537	14.280330502087608
8400	5	2638.2563832792207	16.965563637771567	14.512961448857235
8400	6	2523.0523946609655	16.965965135521376	14.750084843134271
8500	0	3321.6430790230165	16.965944105062682	13.414874135404641
8500	2	3064.2165161153653	16.964846765920488	13.84727993039225
8500	1	3191.742754405495	16.965601373814774	13.629138029846104
8500	3	2939.1374915110487	16.96481267456629	14.070038007466405
8500	5	2696.581850513798	16.964719709909694	14.530475051067114
8500	6	2578.537771671892	16.964484350961406	14.768225250023907
8500	4	2816.581433053564	16.965465640494667	14.297802983326815
8600	0	3395.4109314692905	16.965229889840355	13.429087749682623
8600	1	3262.440984741175	16.96452347983467	13.643923249027926
8600	2	3131.909068808006	16.9650131891507	13.863006700629388
8600	6	2634.681750482464	16.964637066219687	14.788765288341875
8600	4	2878.444119442	16.9650919564418	14.314526352899946
8600	5	2755.6090733057413	16.96579652362365	14.54819527682525
8600	3	3003.8863193232382	16.96467841808742	14.086277885319296
8700	2	3200.388831362964	16.96573089334271	13.878522987351024
8700	1	3333.95892466732	16.965543264939797	13.658897267649788
8700	3	3069.3916858762764	16.965103456747745	14.10229215881318
8700	0	3470.0334887318627	16.96504089019262	13.4416746436561
