Velocidade Inicial	Angulo (alpha)	Distancia Horizontal	Velociade Final	Valor de g
7300	0	2504.7893742381184	16.963719143812966	13.224874454231804
7400	0	2568.1471408213997	16.963557952969097	13.241976503375394
7500	1	2531.2344811856474	16.963123505427575	13.463939060834964
7500	0	2632.367156379932	16.963169923088874	13.260168986302924
7600	1	2593.6076967107247	16.963840266809544	13.481285681489314
7600	0	2697.45362198729	16.96413986849616	13.276800083211999
7700	0	2763.410146939687	16.96342972045056	13.292665096746584
7700	1	2656.814753632668	16.9644434687933	13.499842675753893
7700	2	2552.182768223598	16.962970150125912	13.710319956760525
7800	3	2508.2222050268065	16.963859933064462	13.943469050615146
7800	1	2720.8581642889767	16.963434049164654	13.51598804219368
7800	2	2613.4934900542235	16.963496714365988	13.727538858446058
7800	0	2830.2392152122143	16.96426095542861	13.30854093683339
7900	3	2567.6218615426196	16.963034600682946	13.962347843734136
7900	2	2675.6067363018833	16.964060256226688	13.746103393018092
7900	0	2897.9422199964197	16.96361348417446	13.323708883282796
7900	1	2785.7395153386774	16.96405751420661	13.532182043338958
8000	2	2738.523369985336	16.96317701672452	13.762160285335113
8000	4	2519.344177661479	16.963301702955796	14.200912355915978
8000	3	2627.7902754436273	16.963810586618703	13.979453606695932
8000	1	2851.4592614938656	16.96331186186863	13.54925105599942
8000	0	2966.519252218685	16.963164023116093	13.338572447273563
8100	2	2802.2432969015013	16.964108408010414	13.780034488863922
8100	1	2918.016560436701	16.964403768475854	13.5648184174777
8100	0	3035.969475893257	16.96301752488506	13.353159819971543
8100	4	2577.5566086503054	16.962962654559295	14.219740110521363
8100	3	2688.7282164388744	16.96319065774848	13.997584441409677
8200	1	2985.409728170194	16.9643173803766	13.579723339703984
8200	0	3106.290967893694	16.963284054104133	13.36896678594194
8200	5	2525.0662434258297	16.963478821052863	14.46797192537522
8200	3	2750.4352471390894	16.9643921809817	14.015834954228051
8200	2	2866.765222540596	16.96380123415145	13.795478506421233
8200	4	2636.5052221986975	16.964332451080786	14.238682325274812
8300	0	3177.4809579120447	16.964011830201205	13.383069563478216
8300	1	3053.636240145427	16.963144008601777	13.59556989373176
8300	3	2812.9102006551725	16.964381876824373	14.033323162931387
8300	2	2932.0870961218834	16.96393315379098	13.812352568083787
8300	5	2582.018928080243	16.963913565482137	14.486723599143769
8300	4	2696.1899616199153	16.96438027680154	14.256793498164944
8400	0	3249.5362130580093	16.96370356075592	13.39660202916634
8400	3	2876.15086529528	16.963228786490298	14.048274617237457
8400	2	2998.2061335075086	16.962981180678952	13.826868777404894
8400	1	3122.6928190684703	16.964041200381498	13.61000669043683
8400	4	2756.6099394547355	16.96319871936993	14.27410687613552
8400	5	2639.675532094287	16.962982728288708	14.504602266215556
8400	6	2525.4455799557054	16.963995901357034	14.740469871900515
8500	0	3322.4530131005513	16.963961988768112	13.411392265963311
8500	2	3065.1189998712503	16.964143678238305	13.843259657307026
8500	1	3192.576161306887	16.963938334331868	13.625409314341983
8500	3	2940.1548129865073	16.964148452309228	14.065230900840467
8500	5	2698.035706895305	16.963913610306616	14.524721808954453
8500	6	2581.071953350074	16.963905560258514	14.760780172557082
8500	4	2817.7633187276992	16.963992851716934	14.291611207435007
8600	0	3396.228009134394	16.963193248063956	13.424187169277626
8600	1	3263.2821956285447	16.964391109007753	13.640605320074233
8600	2	3132.8224041849803	16.96429795383589	13.859012097278134
8600	6	2637.3708323708256	16.96401506859597	14.77853506151757
8600	4	2879.647852497985	16.96371549705625	14.310283073656459
8600	5	2757.098228314991	16.96363308049966	14.541956107955192
8600	3	3004.918674988565	16.96404347274073	14.081499207717268
8700	3	3070.4392692424676	16.962931123916103	14.097099207739557
8700	2	3201.3126120314196	16.963438904849724	13.874140317636872
8700	1	3334.807905420975	16.963796491808225	13.653671749681262
8700	0	3470.8573651391766	16.96296089997802	13.43824307712435
8700	4	2942.2608929041357	16.963946875279916	14.326783124334074
8700	5	2816.8614588526875	16.963786757546202	14.558908766135318
8700	6	2694.341743946984	16.96442992790245	14.798141169641113
8800	6	2751.983887993693	16.96364355755681	14.816884916463707
8800	4	3005.5989783094037	16.963167079052255	14.342576887553193
